,imagenet,caltech101,oxford_pets,stanford_cars,oxford_flowers,food101,fgvc_aircraft,sun397,dtd,eurosat,ucf101
seed1,0.539,0.9520000000000001,0.705,0.562,0.484,0.746,0.129,0.485,0.281,0.444,0.556
seed2,0.534,0.9590000000000001,0.6900000000000001,0.588,0.517,0.733,0.095,0.489,0.275,0.454,0.545
seed3,0.541,0.9540000000000001,0.758,0.603,0.54,0.779,0.125,0.505,0.258,0.44799999999999995,0.533
