,imagenet,caltech101,oxford_pets,stanford_cars,oxford_flowers,food101,fgvc_aircraft,sun397,dtd,eurosat,ucf101
seed1,0.408,0.685,0.624,0.43200000000000005,0.9620000000000001,0.649,0.052000000000000005,0.315,0.252,0.2,0.43700000000000006
seed2,0.374,0.6950000000000001,0.528,0.506,0.9640000000000001,0.599,0.065,0.314,0.225,0.27899999999999997,0.36700000000000005
seed3,0.353,0.6970000000000001,0.44799999999999995,0.479,0.961,0.596,0.064,0.292,0.237,0.292,0.394
