,imagenet,caltech101,oxford_pets,stanford_cars,oxford_flowers,food101,fgvc_aircraft,sun397,dtd,eurosat,ucf101
seed1,0.399,0.6559999999999999,0.6,0.43200000000000005,0.34700000000000003,0.643,0.077,0.38799999999999996,0.23800000000000002,0.424,0.835
seed2,0.41200000000000003,0.665,0.47700000000000004,0.465,0.44200000000000006,0.655,0.059000000000000004,0.39799999999999996,0.21300000000000002,0.28500000000000003,0.8240000000000001
seed3,0.402,0.736,0.5750000000000001,0.474,0.41000000000000003,0.658,0.07200000000000001,0.373,0.189,0.336,0.812
