,imagenet,caltech101,oxford_pets,stanford_cars,oxford_flowers,food101,fgvc_aircraft,sun397,dtd,eurosat,ucf101
seed1,0.479,0.7240000000000001,0.668,0.7909999999999999,0.466,0.653,0.08900000000000001,0.44,0.3,0.386,0.502
seed2,0.42600000000000005,0.725,0.679,0.79,0.326,0.5700000000000001,0.08,0.378,0.277,0.23600000000000002,0.45799999999999996
seed3,0.46399999999999997,0.7859999999999999,0.685,0.7909999999999999,0.488,0.758,0.07,0.45,0.313,0.36,0.594
