,imagenet,caltech101,oxford_pets,stanford_cars,oxford_flowers,food101,fgvc_aircraft,sun397,dtd,eurosat,ucf101
seed1,0.0,0.915,0.897,0.6409999999999999,0.664,0.861,0.158,0.636,0.394,0.45,0.68
seed2,0.7170000000000001,0.929,0.9009999999999999,0.6509999999999999,0.6779999999999999,0.85,0.21600000000000003,0.642,0.428,0.418,0.6920000000000001
seed3,0.7170000000000001,0.925,0.893,0.639,0.674,0.856,0.188,0.65,0.40700000000000003,0.43100000000000005,0.6779999999999999
