,imagenet,caltech101,oxford_pets,stanford_cars,oxford_flowers,food101,fgvc_aircraft,sun397,dtd,eurosat,ucf101
seed1,0.54,0.8220000000000001,0.595,0.617,0.547,0.736,0.109,0.745,0.376,0.41600000000000004,0.5750000000000001
seed2,0.55,0.8570000000000001,0.579,0.579,0.529,0.7809999999999999,0.07,0.7440000000000001,0.304,0.419,0.5770000000000001
seed3,0.556,0.898,0.6070000000000001,0.6,0.5710000000000001,0.753,0.113,0.745,0.278,0.395,0.603
