,imagenet,caltech101,oxford_pets,stanford_cars,oxford_flowers,food101,fgvc_aircraft,sun397,dtd,eurosat,ucf101
seed1,0.44200000000000006,0.804,0.627,0.5910000000000001,0.461,0.715,0.071,0.41600000000000004,0.6859999999999999,0.38200000000000006,0.47100000000000003
seed2,0.45799999999999996,0.767,0.615,0.5700000000000001,0.461,0.7390000000000001,0.08199999999999999,0.41600000000000004,0.674,0.425,0.516
seed3,0.443,0.688,0.6409999999999999,0.584,0.43700000000000006,0.752,0.07400000000000001,0.439,0.7020000000000001,0.469,0.495
