,imagenet,caltech101,oxford_pets,stanford_cars,oxford_flowers,food101,fgvc_aircraft,sun397,dtd,eurosat,ucf101
seed1,0.642,0.891,0.922,0.629,0.58,0.757,0.165,0.569,0.44799999999999995,0.449,0.616
seed2,0.655,0.8840000000000001,0.925,0.623,0.609,0.793,0.185,0.6020000000000001,0.44799999999999995,0.383,0.622
seed3,0.6659999999999999,0.8959999999999999,0.9279999999999999,0.634,0.6459999999999999,0.804,0.203,0.613,0.485,0.418,0.634
