,imagenet,caltech101,oxford_pets,stanford_cars,oxford_flowers,food101,fgvc_aircraft,sun397,dtd,eurosat,ucf101
seed1,0,0,0,0,0,0,0,0,0,0,0
seed2,0,0,0,0,0,0,0,0,0,0,0
seed3,0,0,0,0,0,0,0,0,0,0,0
